name,party,status,votes
SURESH GOPI,Bharatiya Janata Party,won,412338
ADV V S SUNILKUMAR,Communist Party of India,lost,337652
K MURALEEDHARAN,Indian National Congress,lost,328124
NOTA,None of the Above,,6072
ADV P K NARAYANAN,Bahujan Samaj Party,lost,2019
SUNILKUMAR SON OF PRABHAKARAN,Independent,lost,1952
DIVAKARAN PALLATH,New Labour Party,lost,819
PRATHAPAN,Independent,lost,709
M S JAFARGHAN,Independent,lost,698
JOSHI VILLADOM,Independent,lost,493
KRITI DEVI DEBBARMAN,Bharatiya Janata Party,won,777447
RAJENDRA REANG,Communist Party of India  (Marxist),lost,290628
NOTA,None of the Above,,18303
ARCHANA URANG,Independent,lost,10922
DARSHAN KUMAR REANG,Independent,lost,9269
SANTOJOY TRIPURA,Independent,lost,6862
SHIB CHANDRA DEBBARMA,Independent,lost,6719
SATRUGHNA JAMATIA,Independent,lost,5967
KRISHNA MOHAN JAMATIA,Independent,lost,4217
KALPA MOHAN TRIPURA,Independent,lost,4011
BIPLAB KUMAR DEB,Bharatiya Janata Party,won,881341
ASISH KUMAR SAHA,Indian National Congress,lost,269763
NOTA,None of the Above,,14612
RAMENDRA REANG,Independent,lost,8932
ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (COMMUNIST),lost,8784
GOURI SANKAR NANDI,Independent,lost,8114
MILAN PADA MURASING,Independent,lost,6652
BALARAM DEBBARMA,Independent,lost,4479
BRAJALAL DEBNATH,Independent,lost,3683
ARNAB ROY,Republican Party of India (A),lost,3449
V. SOMANNA,Bharatiya Janata Party,won,720946
S.P. MUDDAHANUMEGOWDA,Indian National Congress,lost,545352
J.K. SAMI,Independent,lost,6775
NOTA,None of the Above,,6460
RAJASIMHA J. N.,Bahujan Samaj Party,lost,5554
S.N. SWAMY,Socialist Unity Centre Of India (COMMUNIST),lost,4591
RANGANATHA. R.S,Independent,lost,3132
MALLIKARJUNAIAH,Independent,lost,1880
SIDDARAMEGOWDA T. B,Independent,lost,1646
PRADEEP KUMAR DODDAMUDDEGOWDA,Karnataka Rashtra Samithi,lost,1618
H.L. MOHAN KUMAR,Independent,lost,893
PRAKASH. R.A. JAIN,Independent,lost,863
NEELAKANTESHA. H S,Independent,lost,719
R. PUSHPA,Independent,lost,629
R. NARAYANAPPA,Independent,lost,507
B. DEVARAJ,Independent,lost,499
DR. H.B.M. HIREMATH,Kannada  Paksha,lost,477
KAPANIGOWDA.,Independent,lost,471
BASAVARAJU. H.R,National Maha Sabha Party,lost,439
SALENG A SANGMA,Indian National Congress,won,383919
AGATHA K SANGMA,National People's Party,lost,228678
ZENITH M SANGMA,All India Trinamool Congress,lost,48709
LABENN CH MARAK,Independent,lost,6910
NOTA,None of the Above,,5840
MANNA LAL RAWAT,Bharatiya Janata Party,won,738286
TARACHAND MEENA,Indian National Congress,lost,476678
PRAKASH CHAND,Bharat Adivasi Party,lost,217138
NOTA,None of the Above,,22948
DALPAT RAM GARASIA,Bahujan Samaj Party,lost,14460
DR. SAVITA KUMARI AHARI,Independent,lost,8162
PRABHULAL MEENA,Independent,lost,7996
RAJENDRA KUMAR MEENA,Indian Peoples Green Party,lost,6777
KANJI LAL DAMOR,Independent,lost,5931
DR JITENDRA SINGH,Bharatiya Janata Party,won,571076
CH LAL SINGH,Indian National Congress,lost,446703
GHULAM MOHD SAROORI,Independent,lost,39599
NOTA,None of the Above,,12938
MEHRAJ DIN,Independent,lost,9082
AMIT KUMAR,Bahujan Samaj Party,lost,8642
MOHD ALI GUJJAR,Independent,lost,7158
MANOJ KUMAR,Ekam Sanatan Bharat Dal,lost,6834
BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),lost,3292
SWARN VEER SINGH JARAL,Independent,lost,3088
DR PANKAJ SHARMA,Independent,lost,2247
RAJESH MANCHANDA,Independent,lost,1605
SACHIN GUPTA,Independent,lost,1463
KOTA SRINIVAS POOJARY,Bharatiya Janata Party,won,732234
K. JAYAPRAKASH HEGDE,Indian National Congress,lost,473059
NOTA,None of the Above,,11269
K.T. RADHAKRISHNA,Bahujan Samaj Party,lost,5417
SUDHEER KANCHAN MARAKALA,Independent,lost,2286
SACHIN B.K,Uttama Prajaakeeya Party,lost,1333
M. K. DAYANANDA,Proutist Sarva Samaj,lost,1069
VIJAY KUMAR M. G,Independent,lost,956
SUPREETH KUMAR POOJARY KATEEL,Janahitha Paksha,lost,690
SHABAREESH,Karunada Sevakara Party,lost,565
L. RANGANATH GOWDA,Karnataka Rashtra Samithi,lost,540
NITYANAND RAI,Bharatiya Janata Party,won,515965
ALOK KUMAR MEHTA,Rashtriya Janata Dal,lost,455863
NOTA,None of the Above,,23269
SANJAY PASWAN,Independent,lost,16963
MOHAN KUMAR MAURYA,Bahujan Samaj Party,lost,7101
RAKESH KUMAR,Independent,lost,5957
SANTHOSH RAI,Rashtriya Jansambhavna Party,lost,4426
NARENDRA GIRI,Independent,lost,3151
